Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7nF,C_0805_2012Metric,167.301207,87.486188,156.5,bottom
C2,0.1uF,C_0805_2012Metric,120.2,44.5,90,bottom
C3,22pF,C_0805_2012Metric,149.205,46.795,0,bottom
C4,22pF,C_0805_2012Metric,149.18,49.62,0,bottom
C5,0.1uF,C_0805_2012Metric,139.4,51.23,0,bottom
C6,0.1uF,C_0805_2012Metric,137.58,41.78,90,bottom
C7,1uF,C_0805_2012Metric,130.8,59,270,bottom
C8,10uF,C_0805_2012Metric,125.42,59.41,90,bottom
D0,D_Small,D_SOD-123,10.8,78.6,90,bottom
D1,D_Small,D_SOD-123,29.8,78.6,90,bottom
D2,D_Small,D_SOD-123,50,78.4,90,bottom
D3,D_Small,D_SOD-123,69.05,76.3,90,bottom
D4,D_Small,D_SOD-123,88,74,90,bottom
D5,D_Small,D_SOD-123,106.8,71.5,90,bottom
D6,D_Small,D_SOD-123,125.7,68.9,90,bottom
D7,D_Small,D_SOD-123,156.05,70.7,90,bottom
D8,D_Small,D_SOD-123,174.95,73.05,90,bottom
D9,D_Small,D_SOD-123,193.85,75.8,90,bottom
D10,D_Small,D_SOD-123,212.7,78.2,90,bottom
D11,D_Small,D_SOD-123,232.8,78.7,90,bottom
D12,D_Small,D_SOD-123,252,78.7,90,bottom
D13,D_Small,D_SOD-123,271,78.75,90,bottom
D14,D_Small,D_SOD-123,290.1,78.85,90,bottom
D100,D_Small,D_SOD-123,18.85,68.85,270,bottom
D101,D_Small,D_SOD-123,42.6,68.85,270,bottom
D102,D_Small,D_SOD-123,63.3,67.45,262,bottom
D103,D_Small,D_SOD-123,82.25,64.75,262,bottom
D104,D_Small,D_SOD-123,101.020364,62.116058,262,bottom
D105,D_Small,D_SOD-123,119.770364,59.416058,262,bottom
D106,D_Small,D_SOD-123,154.2,59.925,278,bottom
D107,D_Small,D_SOD-123,173.190728,63.033942,278,bottom
D108,D_Small,D_SOD-123,192.020364,65.683942,278,bottom
D109,D_Small,D_SOD-123,210.9,68.35,278,bottom
D110,D_Small,D_SOD-123,232,68.85,270,bottom
D111,D_Small,D_SOD-123,251.1,68.85,270,bottom
D112,D_Small,D_SOD-123,270.4,68.85,270,bottom
D113,D_Small,D_SOD-123,294.15,68.85,270,bottom
D114,D_Small,D_SOD-123,307.1,76.15,90,bottom
D200,D_Small,D_SOD-123,18.425,49.8,270,bottom
D201,D_Small,D_SOD-123,44.65,49.775,270,bottom
D202,D_Small,D_SOD-123,65.229636,47.933942,262,bottom
D203,D_Small,D_SOD-123,84.154636,45.258942,262,bottom
D204,D_Small,D_SOD-123,103.095364,42.541058,262,bottom
D205,D_Small,D_SOD-123,120.95,36.1,82,bottom
D206,D_Small,D_SOD-123,161.445364,42.108942,278,bottom
D207,D_Small,D_SOD-123,180.354636,44.791058,278,bottom
D208,D_Small,D_SOD-123,199.154636,47.441058,278,bottom
D209,D_Small,D_SOD-123,218.179636,50.116058,278,bottom
